lat;long;order;dialect
8.5819424;56.7179372;395;NV
8.583144;56.7188792;396;NV
8.5849973;56.7200193;397;NV
8.5889884;56.7211261;398;NV
8.5891172;56.7213498;399;NV
8.5900399;56.7214911;400;NV
8.5901901;56.7216912;401;NV
8.5887953;56.7217501;402;NV
8.5880443;56.7216677;403;NV
8.5872075;56.7216794;404;NV
8.5860917;56.7217736;405;NV
8.5854479;56.7220327;406;NV
8.5849329;56.7219267;407;NV
8.5844823;56.7219738;408;NV
8.5839459;56.7221386;409;NV
8.583388;56.7219031;410;NV
8.583388;56.7214086;411;NV
8.5823878;56.7215137;412;NV
8.5807571;56.7221259;413;NV
8.5799846;56.7225969;414;NV
8.5786113;56.7227382;415;NV
8.5768088;56.7227382;416;NV
8.5762072;56.7259326;417;NV
8.5762715;56.7263682;418;NV
8.5767436;56.726639;419;NV
8.5772586;56.726792;420;NV
8.5782242;56.7266625;421;NV
8.5793614;56.7266508;422;NV
8.579576;56.726486;423;NV
8.5794124;56.7262061;424;NV
8.5782108;56.7257822;425;NV
8.5798416;56.7250288;426;NV
8.5808716;56.7252171;427;NV
8.5818157;56.7263944;428;NV
8.5819015;56.7276187;429;NV
8.5809574;56.7279013;430;NV
8.5797558;56.7273833;431;NV
8.5774383;56.7279013;432;NV
8.5762367;56.7288901;433;NV
8.5766659;56.729926;434;NV
8.5782966;56.7312444;435;NV
8.5806999;56.7316681;436;NV
8.5844765;56.7318565;437;NV
8.5867081;56.7314798;438;NV
8.5880813;56.7320448;439;NV
8.5918579;56.7309148;440;NV
8.592802;56.7300202;441;NV
8.5942612;56.7287488;442;NV
8.593317;56.728278;443;NV
8.5931362;56.727128;444;NV
8.5933079;56.7266806;445;NV
8.5937156;56.7263039;446;NV
8.5938014;56.7258566;447;NV
8.5945954;56.7256564;448;NV
8.5958185;56.7249972;449;NV
8.5970845;56.7240671;450;NV
8.5977067;56.7232547;451;NV
8.5977282;56.722513;452;NV
8.5975351;56.7216535;453;NV
8.5972776;56.7213121;454;NV
8.5951747;56.7185333;455;NV
8.5946812;56.718286;456;NV
8.5941018;56.7182271;457;NV
8.5937156;56.7179916;458;NV
8.5937585;56.7178032;459;NV
8.594252;56.7175442;460;NV
8.5947885;56.71745;461;NV
8.5949387;56.7175559;462;NV
8.5948099;56.7177443;463;NV
8.5950245;56.7178503;464;NV
8.5956253;56.717921;465;NV
8.5982217;56.7175088;466;NV
8.598608;56.7172851;467;NV
8.5992517;56.7172969;468;NV
8.6017622;56.7163195;469;NV
8.6018481;56.7159898;470;NV
8.6025133;56.7157778;471;NV
8.6035218;56.715872;472;NV
8.6036505;56.7162842;473;NV
8.6042513;56.7165079;474;NV
8.6051311;56.7166728;475;NV
8.6060752;56.717238;476;NV
8.6065258;56.7178268;477;NV
8.6065044;56.7180387;478;NV
8.606719;56.718286;479;NV
8.6083497;56.7189336;480;NV
8.608736;56.7189807;481;NV
8.6098947;56.7188865;482;NV
8.6115469;56.7190985;483;NV
8.6129846;56.7189807;484;NV
8.6137142;56.7192044;485;NV
8.614551;56.719334;486;NV
8.6155166;56.7191691;487;NV
8.6162032;56.7193575;488;NV
8.6164393;56.7195694;489;NV
8.6169328;56.7196754;490;NV
8.617362;56.7196048;491;NV
8.6192073;56.7201699;492;NV
8.6206235;56.7206645;493;NV
8.6209669;56.7211354;494;NV
8.6222543;56.7213003;495;NV
8.6232843;56.721418;496;NV
8.6240568;56.7212767;497;NV
8.6250438;56.7208293;498;NV
8.6269321;56.7195577;499;NV
8.6265888;56.7187805;500;NV
8.6273612;56.7184744;501;NV
8.6281766;56.7180269;502;NV
8.6267175;56.7172262;503;NV
8.6218715;56.7174806;504;NV
8.6205841;56.7164208;505;NV
8.6181808;56.7155023;506;NV
8.615563;56.715149;507;NV
8.6146188;56.715149;508;NV
8.6130739;56.7147722;509;NV
8.6127735;56.7139243;510;NV
8.6118293;56.713359;511;NV
8.6120439;56.7129821;512;NV
8.6126876;56.712723;513;NV
8.6133314;56.7129115;514;NV
8.6137176;56.7126053;515;NV
8.6128593;56.7122284;516;NV
8.6129451;56.7113805;517;NV
8.6122585;56.7104854;518;NV
8.6105419;56.7098259;519;NV
8.6110569;56.7074702;520;NV
8.6124302;56.7062924;521;NV
8.6136318;56.7064337;522;NV
8.616035;56.7058212;523;NV
